,app_name,genre,size_bytes,rating_count,rating,overall_rc,overall_r,overall_score,genre_rc,genre_r,genre_score,success_score,app_name_length,app_name_words
0,Instagram,Photo & Video,113954816,2161558,4.5,0.7266532556822995,0.9,0.8306613022729199,1.0,0.9,0.9400000000000001,0.8907975860228141,9,1
1,Clash of Clans,Games,116476928,2130805,4.5,0.7163149869094987,0.9,0.8265259947637995,1.0,0.9,0.9400000000000001,0.8889366976437099,14,3
2,Bible,Reference,92774400,985920,4.5,0.33143777675282954,0.9,0.6725751107011319,1.0,1.0,1.0,0.8526587998155094,5,1
3,Temple Run,Games,65921024,1724546,4.5,0.5797424660702544,0.9,0.7718969864281018,0.8093401320158344,0.9,0.8637360528063338,0.8224084729361294,10,2
4,CPlus for Craigslist app - mobile classifieds,Catalogs,120219648,13345,5.0,0.004486202867135782,1.0,0.6017944811468543,1.0,1.0,1.0,0.8208075165160844,45,6
5,Facebook,Social Networking,389879808,2974676,3.5,1.0,0.7,0.8200000000000001,1.0,0.7,0.8200000000000001,0.8200000000000001,8,1
6,"Waze - GPS Navigation, Maps & Real-time Traffic",Navigation,94139392,345046,4.5,0.11599448141579116,0.9,0.5863977925663165,1.0,1.0,1.0,0.8138790066548425,47,6
7,Domino's Pizza USA,Food & Drink,105743360,258624,5.0,0.08694190560585421,1.0,0.6347767622423417,0.8511395237860163,1.0,0.9404558095144065,0.8029002382419774,18,3
8,Spotify Music,Music,132510720,878563,4.5,0.29534745968972753,0.9,0.6581389838758911,0.7796427123054028,1.0,0.9118570849221611,0.7976839394513396,13,2
9,Pandora - Music & Radio,Music,130242560,1126879,4.0,0.37882411395392307,0.8,0.6315296455815692,1.0,0.8888888888888888,0.9333333333333333,0.7975216738450396,23,3
10,Blink Health,Medical,38117376,1198,5.0,0.00040273293629289374,1.0,0.6001610931745172,0.8933631618195377,1.0,0.9573452647278151,0.7966123875288311,12,2
11,Calorie Counter & Diet Tracker by MyFitnessPal,Health & Fitness,152700928,507706,4.5,0.17067606690611012,0.9,0.6082704267624441,1.0,0.9,0.9400000000000001,0.7907216920430999,46,6
12,"Groupon - Deals, Coupons & Discount Shopping App",Shopping,127382528,417779,4.5,0.1404452115121109,0.9,0.5961780846048443,1.0,0.9,0.9400000000000001,0.7852801380721801,48,6
13,Zillow Real Estate - Homes for Sale & for Rent,Lifestyle,132632576,342969,4.5,0.11529625411305298,0.9,0.5861185016452213,1.0,0.9,0.9400000000000001,0.7807533257403497,46,8
14,Chase Mobile℠,Finance,39505920,233270,4.5,0.07841862441489426,0.9,0.5713674497659578,1.0,0.9,0.9400000000000001,0.7741153523946811,13,2
15,Starbucks,Food & Drink,135032832,303856,4.5,0.1021475952339011,0.9,0.5808590380935604,1.0,0.875,0.925,0.7701365671421022,9,1
16,"Duolingo - Learn Spanish, French and more",Education,89782272,162701,4.5,0.05469536850399842,0.9,0.5618781474015994,1.0,0.9,0.9400000000000001,0.7698451663307199,41,6
17,SnoreLab : Record Your Snoring,Medical,56814592,1341,4.5,0.0004508053986383727,0.9,0.5401803221594554,1.0,0.9,0.9400000000000001,0.760081144971755,30,4
18,Colorfy: Coloring Book for Adults,Entertainment,124185600,247809,4.5,0.08330621553406152,0.9,0.5733224862136247,0.8023759567937211,0.9,0.8609503827174885,0.7315178292907498,33,5
19,Complete Anatomy,Medical,974118912,1104,4.5,0.00037113285614971176,0.9,0.54014845314246,0.8232662192393736,0.9,0.8693064876957495,0.7211853721467693,16,2
20,"Mint: Personal Finance, Budget, Bills & Money",Finance,162891776,232940,4.0,0.07830768796332777,0.8,0.511323075185331,0.9985853303039396,0.8,0.8794341321215758,0.7137841565002657,45,6
21,Evernote - stay organized,Productivity,158578688,161065,4.0,0.05414539264108091,0.8,0.5016581570564324,1.0,0.8,0.88,0.7097461706753946,25,3
22,Fandango Movies - Times + Tickets,Entertainment,81924096,291787,4.0,0.09809034664615575,0.8,0.5192361386584623,0.9447714703863439,0.8,0.8579085881545376,0.7055059858813038,33,4
23,"Credit Karma: Free Credit Scores, Reports & Alerts",Finance,95494144,101679,5.0,0.034181537754027665,1.0,0.6136726151016111,0.4358854546233978,1.0,0.7743541818493591,0.7020474768128725,50,7
24,Candy Crush Saga,Games,222846976,961794,4.5,0.32332731363012307,0.9,0.6693309254520493,0.4513758884553021,0.9,0.7205503553821209,0.6975016119135886,16,3
25,"The Weather Channel: Forecast, Radar & Alerts",Weather,199734272,495626,3.5,0.16661512043664586,0.7,0.48664604817465834,1.0,0.7777777777777778,0.8666666666666667,0.695657388345263,45,6
26,The Masters Tournament,Sports,120725504,148160,4.5,0.04980710504270045,0.9,0.5599228420170802,0.5091478920672449,1.0,0.8036591568268979,0.69397781516248,22,3
27,"ESPN: Get scores, news, alerts & watch live sports",Sports,51538944,290996,3.5,0.09782443533346152,0.7,0.4591297741333846,1.0,0.7777777777777778,0.8666666666666667,0.6832750650266899,50,8
28,Pinterest,Social Networking,74778624,1061624,4.5,0.35688727108431306,0.9,0.6827549084337252,0.35688727108431306,0.9,0.6827549084337252,0.6827549084337252,9,1
29,Elevate - Brain Training and Games,Education,196350976,58092,5.0,0.019528849528486464,1.0,0.6078115398113946,0.3570475903651483,1.0,0.7428190361460594,0.6820656627954602,34,5
30,IMDb Movies & TV - Trailers and Showtimes,Entertainment,88702976,183425,4.5,0.06166217766237399,0.9,0.5646648710649497,0.5939082514149538,0.9,0.7775633005659816,0.6817590072905173,41,6
31,Google Maps - Navigation & Transit,Navigation,120232960,154911,4.5,0.05207659590489855,0.9,0.5608306383619595,0.4489495451265212,1.0,0.7795798180506085,0.6811426871907165,34,4
32,Head Soccer,Games,121319424,481564,5.0,0.16188788291565198,1.0,0.6647551531662608,0.22600097146383644,1.0,0.6904003885855345,0.6788600326468613,11,2
33,Color Therapy Adult Coloring Book for Adults,Book,135236608,84062,5.0,0.028259212095703867,1.0,0.6113036848382816,0.33347879211031595,1.0,0.7333915168441264,0.6784519924414962,44,7
34,Lumosity - Brain Training,Education,214962176,96534,4.5,0.03245193762278648,0.9,0.5529807750491146,0.5933214915704267,0.9,0.7773285966281707,0.6763720769175955,25,3
35,Angry Birds,Games,175966208,824451,4.5,0.27715657100134605,0.9,0.6508626284005384,0.3869199668669822,0.9,0.694767986746793,0.6750105754909785,11,2
36,"Gmail - email by Google: secure, fast & organized",Productivity,236067840,135962,4.0,0.045706490387524557,0.8,0.4982825961550098,0.8441436687051811,0.8,0.8176574674820725,0.6739387753848943,49,7
37,Google – Search made just for mobile,Utilities,179979264,479440,3.5,0.16117385557284222,0.7,0.48446954222913685,1.0,0.7,0.8200000000000001,0.6690112940031117,36,6
38,Flashlight Ⓞ,Utilities,42027008,130450,5.0,0.043853515475298824,1.0,0.6175414061901195,0.2720882696479226,1.0,0.708835307859169,0.6677530521080968,12,2
39,Google Earth,Travel,37214208,446185,3.5,0.1499944867945282,0.7,0.4799977947178113,1.0,0.7,0.8200000000000001,0.6669990076230151,12,2
40,Lose It! – Weight Loss Program and Calorie Counter,Health & Fitness,182054912,373835,4.0,0.12567251021623868,0.8,0.5302690040864955,0.7363218082906249,0.8,0.7745287233162499,0.6646118496628604,50,8
41,Sniper 3D Assassin: Shoot to Kill Gun Game,Games,157851648,386521,5.0,0.12993717635130683,1.0,0.6519748705405227,0.18139670218532433,1.0,0.6725586808741297,0.6632959662240066,42,8
42,Twitter,News,210569216,354058,3.5,0.1190240550567524,0.7,0.46760962202270095,1.0,0.7,0.8200000000000001,0.6614243299102155,7,1
43,"Zappos: shop shoes & clothes, fast free shipping",Shopping,70325248,103655,5.0,0.034845811779165195,1.0,0.6139383247116661,0.24810964648773634,1.0,0.6992438585950945,0.6608563683475518,48,7
44,Geometry Dash Lite,Games,69076992,370370,5.0,0.12450767747479054,1.0,0.6498030709899162,0.1738169377301067,1.0,0.6695267750920426,0.6606511082460857,18,3
45,Flashlight ◎,Business,37967872,24744,4.5,0.008318216841094626,0.9,0.5433272867364379,0.6395914145332299,0.8333333333333334,0.755836565813292,0.6602073902287077,12,2
46,Netflix,Entertainment,125016064,308844,3.5,0.10382441650788186,0.7,0.4615297666031527,1.0,0.7,0.8200000000000001,0.6586883949714188,7,1
47,Indeed Job Search,Business,3691520,38681,4.0,0.013003432978919385,0.8,0.48520137319156775,1.0,0.6666666666666666,0.8,0.6583406179362056,17,3
48,Subway Surfers,Games,156038144,706110,4.5,0.23737375095640667,0.9,0.6349495003825627,0.33138180171343695,0.9,0.6725527206853749,0.6556312715491095,14,2
49,"Kindle – Read eBooks, Magazines & Textbooks",Book,169747456,252076,3.5,0.08474065746992278,0.7,0.4538962629879691,1.0,0.7,0.8200000000000001,0.6552533183445861,43,5
50,Solitaire,Games,101943296,679055,4.5,0.22827864278328128,0.9,0.6313114571133125,0.31868472244058,0.9,0.667473888976232,0.6512007946379182,9,1
51,CSR Racing,Games,524803072,677247,4.5,0.22767084549712305,0.9,0.6310683381988492,0.31783621682885105,0.9,0.6671344867315405,0.6509047198918294,10,2
52,Crossy Road - Endless Arcade Hopper,Games,165471232,669079,4.5,0.22492500023531975,0.9,0.629970000094128,0.31400292377763334,0.9,0.6656011695110534,0.649567143273437,35,5
53,MyRadar NOAA Weather Radar Forecast,Weather,127284224,150158,4.5,0.05047877483127574,0.9,0.5601915099325103,0.3029663496265329,1.0,0.7211865398506132,0.6487387763874669,35,5
54,Yahoo Mail - Keeps You Organized!,Productivity,177899520,113709,4.0,0.03822567567022425,0.8,0.4952902702680897,0.7059820569335361,0.8,0.7623928227734145,0.6421966741460183,33,5
55,CSR Racing 2,Games,1944321024,257100,5.0,0.08642958090225625,1.0,0.6345718323609024,0.12065862432273249,1.0,0.648263449729093,0.6421022219134074,12,3
56,Injustice: Gods Among Us,Games,1829599232,612532,4.5,0.20591553500280366,0.9,0.6223662140011215,0.28746506601964983,0.9,0.65498602640786,0.6403071108248277,24,4
57,WatchESPN,Sports,33714176,159735,4.0,0.05369828512416142,0.8,0.5014793140496645,0.5489250711349984,0.8888888888888888,0.7529033617873327,0.6397625403053822,9,1
58,"Audible – audio books, original series & podcasts",Book,81558528,105274,4.5,0.0353900727339717,0.9,0.5541560290935887,0.41762801694726986,0.9,0.707051206778908,0.6382483768205143,49,6
59,"eBay: Best App to Buy, Sell, Save! Online Shopping",Shopping,128512000,262241,4.0,0.08815783634923602,0.8,0.5152631345396944,0.6277026849123579,0.8,0.7310810739649432,0.6339630012235813,50,9
60,Hay Day,Games,113641472,567344,4.5,0.1907246369016323,0.9,0.616289854760653,0.26625805740084146,0.9,0.6465032229603367,0.6329072072704791,7,2
61,Google Docs,Productivity,199993344,64259,4.5,0.021602016488518415,0.9,0.5486408065954074,0.3989631515226772,0.9,0.6995852606090709,0.6316602563029223,11,2
62,Pictoword: Fun 2 Pics Guess What's the Word Trivia,Games,126216192,186089,5.0,0.06255773738047438,1.0,0.6250230949521898,0.0873327216709178,1.0,0.6349330886683671,0.6304735914960873,50,8
63,Yahoo Weather,Weather,123047936,112603,4.5,0.037853870471943836,0.9,0.5551415481887776,0.22719348863861055,1.0,0.6908773954554442,0.6297962641854443,13,2
64,Memrise: learn languages,Education,83949568,20383,5.0,0.006852174825090195,1.0,0.6027408699300361,0.12527888580893787,1.0,0.6501115543235751,0.6287947463464826,24,3
65,Twitch,Entertainment,79983616,109549,4.5,0.03682720403835577,0.9,0.5547308816153423,0.35470658325886206,0.9,0.6818826333035448,0.6246643450438537,6,1
66,Google Drive - free online storage,Productivity,185695232,59255,4.5,0.019919816477492004,0.9,0.5479679265909968,0.367894949244094,0.9,0.6871579796976377,0.6245224557996494,34,5
67,Wish - Shopping Made Fun,Shopping,48428032,141960,4.5,0.04772284443751185,0.9,0.5590891377750048,0.3397968782538136,0.9,0.6759187513015255,0.6233454252145911,24,4
68,Iron Force,Games,124666880,141634,5.0,0.047613252670206774,1.0,0.6190453010680826,0.06646971449757251,1.0,0.626587885799029,0.6231937226701032,10,2
69,DragonVale,Games,153074688,503230,4.5,0.16917136521759008,0.9,0.607668546087036,0.23616895961854792,0.9,0.6344675838474192,0.6224080168552468,10,1
